"Date","Close","Volume"
"2025-01-15T06:18:00.000Z","96,965.90","0"
"2025-01-15T06:19:00.000Z","96,935.03","3,190,784.00"
"2025-01-15T06:20:00.000Z","",""
"2025-01-15T06:21:00.000Z","96,878.77","22,048,768.00"
"2025-01-15T06:22:00.000Z","96,874.38","0"
"2025-01-15T06:23:00.000Z","",""
"2025-01-15T06:24:00.000Z","96,907.09","0"
"2025-01-15T06:25:00.000Z","96,918.68","0"
"2025-01-15T06:26:00.000Z","",""
"2025-01-15T06:27:00.000Z","96,866.89","0"
"2025-01-15T06:28:00.000Z","96,880.70","0"
"2025-01-15T06:29:00.000Z","96,872.54","0"
"2025-01-15T06:30:00.000Z","96,856.52","4,001,792.00"
"2025-01-15T06:31:00.000Z","96,863.09","4,857,856.00"
"2025-01-15T06:32:00.000Z","",""
"2025-01-15T06:33:00.000Z","96,862.63","65,536.00"
"2025-01-15T06:34:00.000Z","96,840.68","2,441,216.00"
"2025-01-15T06:35:00.000Z","",""
"2025-01-15T06:36:00.000Z","96,831.84","0"
"2025-01-15T06:37:00.000Z","96,860.95","0"
"2025-01-15T06:38:00.000Z","",""
"2025-01-15T06:39:00.000Z","96,864.88","19,587,072.00"
"2025-01-15T06:40:00.000Z","96,867.19","552,960.00"
"2025-01-15T06:41:00.000Z","96,914.58","0"
"2025-01-15T06:42:00.000Z","96,934.86","0"
"2025-01-15T06:43:00.000Z","96,942.22","10,657,792.00"
"2025-01-15T06:44:00.000Z","96,940.90","0"
"2025-01-15T06:45:00.000Z","96,931.52","970,752.00"
"2025-01-15T06:46:00.000Z","96,981.53","0"
"2025-01-15T06:47:00.000Z","",""
"2025-01-15T06:48:00.000Z","96,969.62","9,605,120.00"
"2025-01-15T06:49:00.000Z","96,949.20","0"
"2025-01-15T06:50:00.000Z","",""
"2025-01-15T06:51:00.000Z","97,003.63","15,863,808.00"
"2025-01-15T06:52:00.000Z","97,013.99","0"
"2025-01-15T06:53:00.000Z","97,096.98","23,961,600.00"
"2025-01-15T06:54:00.000Z","97,078.14","6,443,008.00"
"2025-01-15T06:55:00.000Z","97,059.13","9,306,112.00"
"2025-01-15T06:56:00.000Z","",""
"2025-01-15T06:57:00.000Z","97,048.98","3,428,352.00"
"2025-01-15T06:58:00.000Z","97,049.90","0"
"2025-01-15T06:59:00.000Z","",""
"2025-01-15T07:00:00.000Z","97,052.06","0"
"2025-01-15T07:01:00.000Z","97,099.17","3,461,120.00"
"2025-01-15T07:02:00.000Z","",""
"2025-01-15T07:03:00.000Z","97,144.19","0"
"2025-01-15T07:04:00.000Z","97,112.94","0"
"2025-01-15T07:05:00.000Z","",""
"2025-01-15T07:06:00.000Z","97,128.13","0"
"2025-01-15T07:07:00.000Z","",""
"2025-01-15T07:08:00.000Z","97,114.66","0"
"2025-01-15T07:09:00.000Z","97,129.09","4,194,304.00"
"2025-01-15T07:10:00.000Z","97,177.13","0"
"2025-01-15T07:11:00.000Z","",""
"2025-01-15T07:12:00.000Z","97,109.50","0"
"2025-01-15T07:13:00.000Z","97,086.53","0"
"2025-01-15T07:14:00.000Z","",""
"2025-01-15T07:15:00.000Z","97,101.25","0"
"2025-01-15T07:16:00.000Z","97,151.66","0"
"2025-01-15T07:17:00.000Z","",""
"2025-01-15T07:18:00.000Z","97,213.52","0"
"2025-01-15T07:19:00.000Z","97,261.51","0"
"2025-01-15T07:20:00.000Z","",""
"2025-01-15T07:21:00.000Z","97,272.24","0"
"2025-01-15T07:22:00.000Z","97,313.10","3,747,840.00"
"2025-01-15T07:23:00.000Z","",""
"2025-01-15T07:24:00.000Z","97,420.98","4,960,256.00"
"2025-01-15T07:25:00.000Z","",""
"2025-01-15T07:26:00.000Z","",""
"2025-01-15T07:27:00.000Z","",""
"2025-01-15T07:28:00.000Z","97,416.26",""
